caseid,age,feelings_life,own_rent,hh_type,hh_size,self_rated_health,self_rated_mental_health,lives_with_partner,children_in_household
4637,54,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
4638,79.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4639,66.5,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
4640,48.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,No child
4641,37.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Excellent,No,Two children
4642,38.8,9,"Rented, even if no cash rent is paid",Other,1,Very good,Excellent,No,No child
4643,57.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,Yes,No child
4644,70.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4645,25.6,7,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Very good,No,No child
4646,15.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Excellent,No,One child
4647,72.9,9,"Rented, even if no cash rent is paid",Other,2,Fair,Excellent,No,No child
4648,55.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
4649,41.2,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Excellent,No,No child
4650,51.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4651,37.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
4652,64.3,9,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Good,No,No child
4653,73.2,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
4654,67.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
4655,28,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
4656,65.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Excellent,No,No child
4657,17.2,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
4658,62.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Fair,No,No child
4659,57.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4660,53.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
4661,70.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
4662,32.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,One child
4663,46.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,One child
4664,52.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4665,64.2,4,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Fair,No,No child
4666,44.2,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,Yes,Two children
4667,41.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,One child
4668,26.9,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,Excellent,Yes,No child
4669,54.2,5,"Owned by you or a member of this household, even if it i...",Other,2,Poor,Fair,Yes,No child
4670,52.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
4671,59.6,10,"Rented, even if no cash rent is paid","NA",1,Excellent,Excellent,No,No child
4672,50.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,No child
4673,60.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4674,56.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4675,61.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4676,61.1,7,"Owned by you or a member of this household, even if it i...",Other,2,Good,Very good,No,No child
4677,71.8,10,"Rented, even if no cash rent is paid",Other,1,Good,Very good,No,No child
4678,49.3,7,"Rented, even if no cash rent is paid",Single detached house,2,Very good,Very good,No,No child
4679,52.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
4680,74.4,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
4681,50,8,"Owned by you or a member of this household, even if it i...",Other,1,Good,Good,No,No child
4682,77.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4683,71.3,8,"Owned by you or a member of this household, even if it i...",Other,1,Fair,Very good,No,No child
4684,38.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Poor,No,One child
4685,39.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,Two children
4686,51.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
4687,54.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
4688,28.8,10,"Owned by you or a member of this household, even if it i...",Other,3,Excellent,Excellent,No,No child
4689,71,4,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4690,68.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4691,29.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Good,No,No child
4692,23.1,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Very good,Very good,No,One child
4693,38.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,6,Very good,Excellent,No,Three or more children
4694,39.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Good,Yes,One child
4695,74.5,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Good,No,No child
4696,30.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,One child
4697,55.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
4698,34.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Good,No,Two children
4699,68.1,9,"Rented, even if no cash rent is paid",Other,1,Very good,Good,No,No child
4700,28,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,One child
4701,40,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,Two children
4702,46.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
4703,42.2,10,"Rented, even if no cash rent is paid",Single detached house,1,Fair,Good,No,No child
4704,60.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4705,52.3,10,"Rented, even if no cash rent is paid",Single detached house,1,Good,Very good,No,No child
4706,20.2,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Good,Good,No,No child
4707,49,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
4708,30.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Excellent,No,One child
4709,53.5,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Very good,No,No child
4710,38.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,Yes,Two children
4711,69.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Fair,No,No child
4712,68.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,Yes,No child
4713,54.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,No child
4714,22.8,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Good,No,No child
4715,34,3,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Poor,No,No child
4716,59.9,10,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Excellent,Excellent,No,No child
4717,78.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
4718,49.9,9,"Owned by you or a member of this household, even if it i...",Other,2,Poor,Excellent,No,No child
4719,75.4,9,"Rented, even if no cash rent is paid",Other,2,Good,Good,No,No child
4720,39.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4721,58.4,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Very good,Excellent,Yes,No child
4722,76.8,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Very good,No,No child
4723,73.7,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Fair,No,No child
4724,16.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
4725,30.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,Yes,One child
4726,46.9,5,"Owned by you or a member of this household, even if it i...",Other,1,Good,Good,No,No child
4727,57.9,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Very good,Excellent,Yes,No child
4728,80,8,"Rented, even if no cash rent is paid",Other,1,Good,Good,No,No child
4729,60.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Very good,No,No child
4730,73.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
4731,77.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Very good,No,No child
4732,80,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
4733,67,5,"Owned by you or a member of this household, even if it i...",Other,1,Good,Good,No,No child
4734,47.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,Yes,No child
4735,51.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
4736,29.3,6,"Rented, even if no cash rent is paid",Other,1,Very good,Very good,No,No child
4737,68.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Good,No,No child
4738,35.4,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Good,No,No child
4739,20.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
4740,65.1,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
4741,20.8,10,"Owned by you or a member of this household, even if it i...",Other,5,Excellent,Excellent,No,No child
4742,30.2,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Fair,Fair,No,Two children
4743,50.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Very good,No,Three or more children
4744,45.6,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Good,No,No child
4745,68.2,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4746,71.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
4747,64.3,7,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,No,No child
4748,18.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Good,No,One child
4749,39.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
4750,41.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,6,Very good,Good,No,Three or more children
4751,30.5,9,"Rented, even if no cash rent is paid",Other,6,Excellent,Very good,Yes,Three or more children
4752,48.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
4753,70.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
4754,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
4755,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Very good,No,No child
4756,68.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
4757,33.9,7,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Good,Good,No,One child
4758,40.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,Three or more children
4759,49,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,"NA",Very good,No,No child
4760,47,8,"Owned by you or a member of this household, even if it i...",Other,4,Good,Very good,No,One child
4761,62.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
4762,70.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4763,30,5,"Owned by you or a member of this household, even if it i...",Single detached house,6,Excellent,Very good,No,No child
4764,30,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
4765,50.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4766,70.5,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Very good,No,No child
4767,46.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
4768,72.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4769,67.6,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4770,30.4,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,One child
4771,63.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Very good,No,No child
4772,77.1,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Very good,No,No child
4773,64.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
4774,78.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
4775,69.7,7,"Owned by you or a member of this household, even if it i...",Other,2,Good,Very good,No,No child
4776,62.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
4777,36.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
4778,46,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,One child
4779,46.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Very good,No,Two children
4780,29.2,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
4781,25.4,5,"Rented, even if no cash rent is paid",Single detached house,2,Good,Fair,No,No child
4782,37.3,5,"Rented, even if no cash rent is paid",Other,4,Good,Good,No,Two children
4783,57.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4784,51.8,9,"Owned by you or a member of this household, even if it i...",Other,2,Excellent,Excellent,No,No child
4785,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Fair,No,No child
4786,45.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
4787,78.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
4788,60.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4789,42.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,One child
4790,58.6,8,"Owned by you or a member of this household, even if it i...",Other,1,Poor,Very good,No,No child
4791,73.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4792,63.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,Two children
4793,39.8,10,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Good,No,No child
4794,79.8,7,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Good,No,No child
4795,35.7,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Excellent,Excellent,Yes,Two children
4796,66.8,5,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Poor,Good,No,No child
4797,47,8,"Rented, even if no cash rent is paid",Single detached house,2,Good,Good,No,One child
4798,69.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Good,No,No child
4799,48.7,9,"Rented, even if no cash rent is paid",Single detached house,3,Excellent,Very good,No,No child
4800,42.4,6,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
4801,69.8,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Very good,No,No child
4802,57.8,10,"Rented, even if no cash rent is paid",Single detached house,1,Poor,Very good,No,No child
4803,22.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
4804,39,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,Three or more children
4805,33.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Good,No,One child
4806,52.6,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Fair,No,No child
4807,64.9,4,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
4808,30.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,Yes,Two children
4809,55.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4810,48.4,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,No,One child
4811,70.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
4812,46,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Very good,No,Three or more children
4813,55.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,No child
4814,72,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
4815,59.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4816,51.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
4817,62.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
4818,54.3,7,"Rented, even if no cash rent is paid",Single detached house,2,Very good,Very good,No,No child
4819,35.3,5,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Excellent,Good,No,One child
4820,62.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,No child
4821,41.1,7,"Rented, even if no cash rent is paid",Other,2,Good,Good,No,One child
4822,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4823,79.7,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Fair,Good,No,No child
4824,71.8,NA,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Fair,No,No child
4825,20.2,9,"Rented, even if no cash rent is paid","NA",1,Very good,Good,No,No child
4826,65.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4827,54,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
4828,58.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
4829,47.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Poor,Fair,No,Two children
4830,51.9,8,"Owned by you or a member of this household, even if it i...",Other,2,Excellent,Very good,No,No child
4831,55.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4832,58.1,7,"Owned by you or a member of this household, even if it i...",Other,1,Good,Good,No,No child
4833,64.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
4834,64,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
4835,61.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
4836,59.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Poor,Excellent,No,No child
4837,65.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
4838,22.3,8,"Rented, even if no cash rent is paid","NA",2,Very good,Fair,Yes,No child
4839,34.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4840,53.2,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Very good,No,No child
4841,41.3,6,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Good,No,Three or more children
4842,70.5,10,"Owned by you or a member of this household, even if it i...",Other,4,Poor,Fair,No,No child
4843,36,4,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Fair,No,No child
4844,32.8,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
4845,73.7,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Very good,No,No child
4846,72.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
4847,43.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,One child
4848,25.5,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,Very good,No,One child
4849,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
4850,52.3,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Good,No,No child
4851,54.9,8,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Excellent,No,No child
4852,39.9,7,"Rented, even if no cash rent is paid",Single detached house,4,Good,Excellent,No,Two children
4853,49.3,6,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Poor,No,Three or more children
4854,37.6,7,"Rented, even if no cash rent is paid",Other,1,Excellent,Excellent,No,No child
4855,68.6,10,"Rented, even if no cash rent is paid",Other,1,Good,Very good,No,No child
4856,32.7,9,"Owned by you or a member of this household, even if it i...",Other,2,Excellent,Excellent,No,No child
4857,38.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4858,60.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4859,45.5,7,"Owned by you or a member of this household, even if it i...",Other,4,Good,Good,No,Two children
4860,40.2,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Excellent,No,One child
4861,80,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4862,60.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
4863,48.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,One child
4864,52.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
4865,67.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Excellent,No,No child
4866,71.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4867,73.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Excellent,No,No child
4868,34.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
4869,50.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
4870,74.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
4871,41.3,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,One child
4872,37.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4873,72.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
4874,44.8,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Excellent,No,No child
4875,58.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,6,Good,Good,No,No child
4876,37.7,7,"Rented, even if no cash rent is paid",Single detached house,3,Good,Good,No,No child
4877,70.5,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Excellent,No,No child
4878,48.1,10,"Rented, even if no cash rent is paid",Single detached house,3,Good,Good,No,One child
4879,22.9,3,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
4880,21.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,No child
4881,80,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Very good,No,No child
4882,56.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
4883,33.2,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Very good,No,No child
4884,74.8,9,"Owned by you or a member of this household, even if it i...","NA",2,Very good,Very good,No,No child
4885,76.8,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Good,No,No child
4886,48.6,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Very good,Excellent,No,Two children
4887,63.7,6,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
4888,42.9,9,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
4889,59.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4890,27,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4891,53.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
4892,46.8,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Good,Good,No,One child
4893,63.3,7,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Good,Excellent,No,No child
4894,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
4895,19.9,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,One child
4896,31.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
4897,41,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,Two children
4898,64.9,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
4899,26.6,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
4900,28.1,8,"Owned by you or a member of this household, even if it i...",Other,3,Excellent,Very good,No,No child
4901,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Good,No,No child
4902,34.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Good,No,Three or more children
4903,31.1,8,"Owned by you or a member of this household, even if it i...",Other,3,Excellent,Very good,Yes,One child
4904,42.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
4905,41.3,10,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Very good,No,No child
4906,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
4907,60.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
4908,71.5,NA,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,"NA",No,No child
4909,25.5,7,"Rented, even if no cash rent is paid",Single detached house,3,Fair,Good,No,One child
4910,58,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Fair,No,No child
4911,61.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Good,No,No child
4912,57.2,9,"Owned by you or a member of this household, even if it i...",Other,1,Good,Excellent,No,No child
4913,77.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
4914,37.4,6,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Good,Fair,No,Two children
4915,27.9,8,"Owned by you or a member of this household, even if it i...",Other,4,Very good,Good,No,No child
4916,40.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
4917,39.6,7,"Rented, even if no cash rent is paid",Single detached house,1,Good,Very good,No,No child
4918,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Very good,No,No child
